Time,Low,High,Open,Close,Volume
1514705700, 12999.99, 13000, 13000, 13000, 1.1967757
1514705640, 12990, 13000, 12990, 13000, 0.49495611999999994
1514705580, 12976.99, 12990, 12977, 12990, 2.01481063
1514705520, 12973.92, 12977, 12973.92, 12977, 0.7783810599999997
1514705460, 12969.13, 12973.93, 12969.13, 12973.93, 0.8024157799999999
1514705400, 12949.96, 12970, 12949.96, 12965.13, 0.6064847000000001
1514705340, 12941.65, 12960.84, 12960.84, 12949.96, 0.63513368
1514705280, 12941.61, 12961.72, 12961.72, 12960.84, 1.1372608599999998
1514705220, 12938.95, 12973.01, 12938.95, 12961.72, 1.14750753
1514705160, 12908, 12939.81, 12939.81, 12938.95, 2.4418635699999993
1514705100, 12930, 12977.92, 12977.92, 12939.84, 0.6512459600000001
1514705040, 12945, 12975, 12945, 12975, 2.69444221
1514704980, 12918.99, 12941.68, 12919, 12941.67, 1.59256431
1514704920, 12824.07, 12919, 12859.32, 12919, 4.81166419
1514704860, 12810, 12943.03, 12943.03, 12859.32, 7.868321700000002
1514704800, 12940, 12966.39, 12966.38, 12945, 4.586509830000001
1514704740, 12970, 12975, 12975, 12970, 3.01517609
1514704680, 12965, 12990.01, 12990, 12974.84, 6.54329897
1514704620, 12990, 12995.39, 12995.39, 12990, 2.5472206900000005
1514704560, 12965, 12995.4, 12965, 12995.38, 2.1487910500000003
1514704500, 12982, 13015, 13015, 13011.04, 2.9139034500000003
1514704440, 13015, 13015.01, 13015, 13015.01, 1.36981239
1514704380, 13015, 13015.01, 13015, 13015.01, 3.8709972099999996
1514704320, 13015, 13048.16, 13017.76, 13015, 5.2726008900000005
1514704260, 12999.99, 13017.76, 13000, 13017.76, 4.589284609999998
1514704200, 12985.22, 13000, 12985.23, 13000, 3.88845968
1514704140, 12966.23, 12985.23, 12966.23, 12985.23, 3.4289905399999996
1514704080, 12940.26, 12991.05, 12940.26, 12960, 4.232600310000001
1514704020, 12914.67, 13000, 12999.99, 12940.26, 7.737039379999999
1514703960, 12950, 13000, 12950, 13000, 4.6025234699999995
1514703900, 12915.99, 12940, 12915.99, 12940, 5.00385184
1514703840, 12915.08, 12920, 12915.08, 12915.99, 1.7749516
1514703780, 12838.03, 12923.73, 12841.99, 12915.09, 12.248810639999999
1514703720, 12825, 12845.98, 12840, 12825, 4.668936340000001
1514703660, 12840, 12840.01, 12840.01, 12840.01, 7.079541480000001
1514703600, 12840, 12842, 12842, 12840.01, 2.39832701
1514703540, 12831.72, 12841.3, 12831.72, 12841.29, 4.657851760000001
1514703480, 12830, 12838.99, 12835, 12831.42, 2.01390204
1514703420, 12837.5, 12850.01, 12850, 12841.31, 2.1077586399999997
1514703360, 12850, 12870, 12870, 12850.01, 5.2496011000000005
1514703300, 12870, 12871.43, 12871.42, 12870, 12.271689949999999
1514703240, 12871.42, 12871.43, 12871.43, 12871.43, 3.4756235899999997
1514703180, 12871.42, 12875.42, 12875.42, 12871.42, 3.6011975599999992
1514703120, 12851.08, 12875.43, 12851.08, 12875.43, 3.9735884900000005
1514703060, 12837.54, 12858.12, 12838.01, 12851.08, 5.90702027
1514703000, 12838, 12865, 12839, 12838, 2.7874026900000004
1514702940, 12827.98, 12839, 12827.99, 12839, 7.211456450000001
1514702880, 12817.39, 12827.99, 12817.39, 12827.98, 4.773519720000001
1514702820, 12811, 12829.42, 12829.37, 12817.05, 7.083514889999999
1514702760, 12811.15, 12833, 12825.45, 12829.42, 7.954039029999999
1514702700, 12820, 12839.08, 12830.01, 12820, 3.13391321
1514702640, 12860.01, 12868.62, 12863.93, 12860.01, 5.92542374
1514702580, 12860, 12872.39, 12872.39, 12860.02, 3.6417554599999997
1514702520, 12872.38, 12936.86, 12936.86, 12872.39, 3.1021221800000003
1514702460, 12936.85, 12936.86, 12936.86, 12936.85, 1.3078235699999998
1514702400, 12927.7, 12937.43, 12927.7, 12936.86, 2.71551054
1514702340, 12880, 12923.42, 12880.01, 12923.42, 6.880334050000001
1514702280, 12880, 12880.01, 12880.01, 12880, 3.3767619599999996
1514702220, 12880, 12885.01, 12885, 12880, 5.77481315
1514702160, 12885, 12895, 12895, 12885.01, 7.64978691
1514702100, 12885, 12900, 12890, 12895, 3.4645508800000004
1514702040, 12890, 12906.6, 12906.6, 12890, 6.5985447399999995
1514701980, 12900.04, 12912.51, 12912.51, 12900.04, 3.82687528
1514701920, 12900.01, 12937.49, 12937.49, 12912.5, 5.94173495
1514701860, 12937.49, 12939.08, 12937.5, 12937.49, 2.8975537399999998
1514701800, 12903.42, 12937.01, 12903.42, 12936.99, 4.743361159999999
1514701740, 12874.7, 12903.43, 12874.7, 12903.42, 5.876842320000001
1514701680, 12854.79, 12874.81, 12858, 12874.7, 9.583956349999998
1514701620, 12850.01, 12867.67, 12867.67, 12858.01, 10.379259630000002
1514701560, 12850, 12913.34, 12913.34, 12867.66, 7.100259080000001
1514701500, 12911, 12939.09, 12939.09, 12923.4, 13.051140979999996
1514701440, 12929, 12940.03, 12940.03, 12939.09, 2.4471485600000005
1514701380, 12940, 12950.01, 12950, 12940.02, 3.3829214400000005
1514701320, 12950, 12974.97, 12974.97, 12950.02, 5.857871490000001
1514701260, 12954.99, 12975.01, 12975.01, 12974.97, 2.45069399
1514701200, 12969.26, 12991.37, 12991.37, 12975.97, 4.183291860000001
1514701140, 12974.76, 12991.37, 12974.77, 12991.37, 1.00277177
1514701080, 12950.29, 12978.78, 12954.03, 12974.77, 1.3046496
1514701020, 12951.72, 12971.51, 12962.01, 12951.72, 0.76711237
1514700960, 12957.54, 12990, 12990, 12974.8, 2.7429276899999997
1514700900, 12975.01, 13017.72, 13017.72, 12988.49, 3.25485945
1514700840, 13000, 13050, 13050, 13017.71, 4.41932417
1514700780, 13058.69, 13062.61, 13062.61, 13058.7, 1.13048048
1514700720, 13060.51, 13062.69, 13060.51, 13062.61, 2.3591500599999997
1514700660, 13024.96, 13066, 13024.96, 13060.51, 2.2356634
1514700600, 13025, 13071.91, 13025, 13065.99, 0.7545990700000001
1514700540, 13019.99, 13025, 13020, 13025, 0.6554347
1514700480, 13016.5, 13020, 13016.5, 13020, 3.1940988899999994
1514700420, 13000.75, 13021.96, 13000.75, 13016.5, 3.15960984
1514700360, 12956.01, 13000.75, 12956.01, 13000.75, 1.7397673100000002
1514700300, 12956, 12956.01, 12956.01, 12956.01, 2.8288946499999996
1514700240, 12956, 12956.01, 12956.01, 12956.01, 10.178270140000002
1514700180, 12956, 12957.39, 12957.39, 12956.01, 8.74150138
1514700120, 12917.61, 12957.39, 12917.62, 12957.39, 8.150139670000002
1514700060, 12917.61, 12917.62, 12917.62, 12917.62, 3.56074292
1514700000, 12917.61, 12917.62, 12917.61, 12917.62, 10.05503789
1514699940, 12916.26, 12917.62, 12917.61, 12917.62, 11.2612668
1514699880, 12917.61, 12937.31, 12937.09, 12917.62, 2.3631578600000003
1514699820, 12919.33, 12938.79, 12938.79, 12937.31, 1.70893331
1514699760, 12920, 12994.15, 12990.28, 12920, 7.123892759999999
1514699700, 12949.25, 12990, 12949.25, 12990, 4.66384511
1514699640, 12932.27, 12949.25, 12932.27, 12949.25, 6.90806994
1514699580, 12921.02, 12933.01, 12933.01, 12932.27, 10.555113529999995
1514699520, 12933, 12942.54, 12942.53, 12933, 0.8870741099999998
1514699460, 12921.06, 13050.02, 13050.01, 12942.53, 1.95231697
1514699400, 13053.26, 13100, 13100, 13061.01, 5.535153279999999
1514699340, 13100, 13118.76, 13118.76, 13100.01, 3.01071796
1514699280, 13118.75, 13164, 13164, 13118.76, 1.88335481
1514699220, 13150, 13168.21, 13160.33, 13164.01, 0.45530927000000004
1514699160, 13132.98, 13176.25, 13176.25, 13160.31, 1.3663171799999998
1514699100, 13119.59, 13180, 13119.59, 13179.99, 2.9621487799999993
1514699040, 13160.01, 13180, 13180, 13179.65, 0.9506824
1514698980, 13171.67, 13180, 13171.67, 13179.99, 1.2299672799999999
1514698920, 13161.57, 13176.5, 13170.01, 13170.35, 0.55886863
1514698860, 13170, 13181.77, 13181.77, 13170, 2.38046348
1514698800, 13181.76, 13181.77, 13181.76, 13181.77, 1.3925987400000002
1514698740, 13181.76, 13181.78, 13181.77, 13181.76, 1.81754203
1514698680, 13139.98, 13181.77, 13139.98, 13181.76, 6.151462259999999
1514698620, 13122.58, 13146.9, 13122.59, 13146.9, 3.324127539999999
1514698560, 13120, 13130.01, 13130.01, 13122.58, 1.8452775199999998
1514698500, 13137.03, 13182.04, 13182.03, 13137.03, 0.5104592
1514698440, 13182.03, 13182.04, 13182.04, 13182.03, 1.8740381400000001
1514698380, 13182.03, 13182.04, 13182.03, 13182.04, 1.20310052
1514698320, 13182.03, 13182.04, 13182.03, 13182.04, 2.04476095
1514698260, 13182.03, 13188, 13188, 13182.03, 0.72502683
1514698200, 13188, 13188, 13188, 13188, 1.8890470000000001
1514698140, 13187.3, 13188, 13187.31, 13188, 2.12662563
1514698080, 13187.3, 13187.31, 13187.31, 13187.3, 1.1408235899999999
1514698020, 13187.3, 13187.31, 13187.3, 13187.3, 0.48942384
1514697960, 13175, 13187.32, 13175, 13187.3, 0.61483943
1514697900, 13175, 13190.03, 13190.03, 13175.01, 2.88725654
1514697840, 13190, 13200, 13200, 13190.03, 3.0748159200000003
1514697780, 13199.99, 13200, 13200, 13200, 1.8735696499999999
1514697720, 13196.37, 13200, 13196.38, 13200, 1.8220631999999999
1514697660, 13196.37, 13196.38, 13196.38, 13196.37, 3.32104523
1514697600, 13179.96, 13196.38, 13179.96, 13196.38, 1.4583925
1514697540, 13150.98, 13225, 13209, 13150.98, 3.510480329999999
1514697480, 13145.03, 13215.9, 13145.03, 13207.61, 5.114465539999999
1514697420, 13119.99, 13145, 13120, 13145, 3.33620991
1514697360, 13119.99, 13120, 13120, 13120, 2.80887511
1514697300, 13110.99, 13120, 13111, 13120, 3.80500043
1514697240, 13110, 13111, 13110.9, 13111, 5.22987654
1514697180, 13110, 13111, 13111, 13110.95, 3.27602185
1514697120, 13110, 13110.06, 13110, 13110.06, 0.7626792999999998
1514697060, 13110, 13110.06, 13110.05, 13110.01, 0.35133695
1514697000, 13088, 13134, 13133.99, 13114.82, 2.8613474899999995
1514696940, 13129.99, 13134, 13130, 13134, 1.06292609
1514696880, 13099.63, 13128.93, 13099.63, 13128.92, 0.78513704
1514696820, 13080, 13100, 13080, 13100, 2.5261487700000003
1514696760, 13050.33, 13075, 13058.34, 13075, 1.4278361999999998
1514696700, 13050.34, 13062.37, 13062.36, 13058.34, 2.3281805400000004
1514696640, 13050, 13070.36, 13070.36, 13062.37, 3.51443306
1514696580, 13057.01, 13085.6, 13085.59, 13070.36, 3.0777341700000003
1514696520, 13085.59, 13085.6, 13085.6, 13085.6, 2.73600149
1514696460, 13070, 13085.6, 13085.6, 13085.6, 5.86886095
1514696400, 13059.99, 13085.6, 13060, 13085.6, 1.8127429999999998
1514696340, 13060, 13087.94, 13087.94, 13060, 3.0599837699999997
1514696280, 13087.95, 13134.08, 13134.08, 13087.95, 3.3546570100000004
1514696220, 13130.14, 13134.13, 13130.14, 13134.08, 5.365590200000001
1514696160, 13139.97, 13140, 13139.97, 13140, 4.10540345
1514696100, 13131.21, 13139.97, 13134.23, 13139.97, 3.2209716599999996
1514696040, 13100.01, 13134.23, 13134.23, 13130.08, 1.17157375
1514695980, 13119.98, 13135, 13129.97, 13134.19, 1.0520858800000001
1514695920, 13096.96, 13135.53, 13135.53, 13112.81, 3.647123370000001
1514695860, 13100.99, 13135.53, 13101, 13135.53, 1.5451542699999998
1514695800, 13100.99, 13101, 13100.99, 13101, 4.541028160000001
1514695740, 13099.82, 13100.99, 13100.99, 13100.99, 0.4965505
1514695680, 13090.51, 13100.99, 13100.98, 13100.96, 1.4071421600000003
1514695620, 13091.51, 13135.52, 13135.51, 13100.99, 1.8966346299999999
1514695560, 13135.51, 13135.58, 13135.52, 13135.51, 0.7566803700000001
1514695500, 13080, 13135.58, 13080, 13135.58, 3.7702489799999985
1514695440, 12999.99, 13079.97, 13000, 13079.97, 7.850368699999999
1514695380, 12999.99, 13000, 13000, 13000, 1.99988294
1514695320, 13000, 13024.99, 13024.99, 13000, 2.36571298
1514695260, 12992.53, 13020, 13000, 13020, 3.5082130300000003
1514695200, 12950.06, 13000, 12960, 13000, 5.02902799
1514695140, 12950, 13069.93, 13065, 12950, 6.9471440300000005
1514695080, 13070, 13075.32, 13075.32, 13070.01, 3.5366923599999995
1514695020, 13075.3, 13078.01, 13078, 13076.01, 2.13529964
1514694960, 13078, 13079.26, 13079.26, 13078.01, 2.6402715999999993
1514694900, 13079.26, 13079.27, 13079.27, 13079.26, 1.0015844600000001
1514694840, 13076, 13079.27, 13079.26, 13079.27, 2.69704863
1514694780, 13075, 13115.01, 13115.01, 13079.27, 5.49208367
1514694720, 13115, 13115.01, 13115.01, 13115.01, 0.96385014
1514694660, 13115, 13115.01, 13115, 13115.01, 4.66550287
1514694600, 13115, 13115.01, 13115.01, 13115, 4.0286897800000006
1514694540, 13111.6, 13118.11, 13111.6, 13115, 9.17644859
1514694480, 13080, 13118.13, 13088.97, 13101.16, 3.18780241
1514694420, 13087.69, 13090.65, 13090.65, 13088.96, 2.3076250000000007
1514718360, 13097.92, 13097.93, 13097.92, 13097.93, 0.6641630799999999
1514718300, 13097.92, 13097.93, 13097.93, 13097.92, 0.9841747999999999
1514718240, 13097.92, 13097.93, 13097.93, 13097.93, 4.270483160000001
1514718180, 13090.54, 13101.06, 13101.06, 13097.93, 1.67750745
1514718120, 13097.93, 13103, 13097.98, 13101.06, 5.704030169999999
1514718060, 13080.35, 13099.99, 13080.36, 13097.97, 1.7239791200000003
1514718000, 13020.06, 13098, 13020.07, 13080.36, 0.93324227
1514717940, 12976.22, 13020.07, 12976.22, 13020.07, 1.5455175100000005
1514717880, 12950, 12976.22, 12950, 12976.22, 0.45753739
1514717820, 12947.03, 12950, 12947.03, 12950, 2.1374875
1514717760, 12943.51, 12947.03, 12943.51, 12947.03, 3.4756037400000004
1514717700, 12925.22, 12959.86, 12959.86, 12931.24, 1.5280155299999998
1514717640, 12961.59, 12976.22, 12976.21, 12961.59, 2.1093911199999997
1514717580, 12961.6, 12976.22, 12961.6, 12976.21, 1.40953259
1514717520, 12960, 12961.6, 12960, 12961.6, 0.5467338
1514717460, 12924.96, 12953.24, 12924.97, 12953.24, 1.6678739299999998
1514717400, 12924.96, 12924.97, 12924.96, 12924.97, 5.145510579999999
1514717340, 12924.96, 12978.99, 12978.99, 12924.97, 0.61258813
1514717280, 12979, 13014, 13014, 12979, 1.1716278699999998
1514717220, 12998.99, 13014, 12999, 13013.99, 0.8574613099999997
1514717160, 12974.99, 12999, 12975, 12999, 1.7628012199999998
1514717100, 12963.42, 12975, 12963.42, 12975, 1.6283151599999999
1514717040, 12943.56, 12963.42, 12943.56, 12963.42, 0.14810717
1514716980, 12900.42, 12943.56, 12900.42, 12943.56, 1.3667113500000003
1514716920, 12880.55, 12908.02, 12908.02, 12900.41, 3.2186626599999997
1514716860, 12900, 12982.21, 12982.21, 12900, 2.7596714799999993
1514716800, 12982.2, 12982.21, 12982.2, 12982.2, 2.21922382
1514716740, 12979.99, 12982.21, 12980, 12982.21, 2.85285882
1514716680, 12970.55, 12979.99, 12970.56, 12979.99, 1.1712487700000003
1514716620, 12949.97, 12975.76, 12949.97, 12959.29, 2.95634571
1514716560, 12943.99, 12949.98, 12944, 12949.98, 0.41331158
1514716500, 12877.77, 12944, 12877.77, 12944, 0.4119354
1514716440, 12875, 12877.67, 12875, 12877.67, 1.38540649
1514716380, 12870.99, 12875, 12870.99, 12874.99, 4.064827800000001
1514716320, 12853.25, 12870.99, 12853.25, 12870.99, 1.75850028
1514716260, 12850.17, 12853.25, 12850.18, 12853.24, 1.09186908
1514716200, 12836.79, 12850, 12836.8, 12850, 3.1960474999999997
1514716140, 12806.13, 12822.14, 12806.13, 12822.14, 0.5366434299999999
1514716080, 12801.59, 12806.15, 12806.15, 12806.13, 3.1107267900000006
1514716020, 12799.29, 12807.01, 12807.01, 12806.15, 0.8803855900000002
1514715960, 12807.69, 12819.99, 12819.99, 12807.7, 3.14442569
1514715900, 12809.99, 12820, 12809.99, 12820, 0.6981640899999999
1514715840, 12809.99, 12810, 12810, 12809.99, 1.00588798
1514715780, 12799.99, 12810, 12799.99, 12810, 4.16711165
1514715720, 12799.99, 12800, 12800, 12800, 1.9934625899999998
1514715660, 12799.99, 12800, 12800, 12800, 1.79118752
1514715600, 12799, 12800, 12799, 12800, 0.97901674
1514715540, 12796.32, 12797, 12796.33, 12797, 2.12994577
1514715480, 12796.32, 12796.33, 12796.33, 12796.33, 0.80764033
1514715420, 12796.32, 12796.64, 12796.64, 12796.33, 0.6047434200000001
1514715360, 12734.97, 12800, 12800, 12800, 3.68552352
1514715300, 12799.99, 12800, 12799.99, 12800, 2.8041866999999994
1514715240, 12799.99, 12800, 12800, 12799.99, 1.09499069
1514715180, 12799.99, 12800, 12800, 12799.99, 1.8584786600000003
1514715120, 12799.99, 12800, 12800, 12799.99, 0.9492194900000002
1514715060, 12779.11, 12800, 12779.11, 12800, 5.9243792
1514715000, 12775.01, 12779.11, 12775.01, 12779.11, 1.03493569
1514714940, 12775, 12779.97, 12779.96, 12775, 0.8460212300000001
1514714880, 12776.1, 12787.82, 12780, 12776.1, 4.27967094
1514714820, 12776.1, 12776.11, 12776.11, 12776.11, 0.5855886
1514714760, 12757.9, 12776.11, 12757.9, 12776.11, 1.3884084300000001
1514714700, 12757.89, 12757.9, 12757.9, 12757.9, 3.8593754399999995
1514714640, 12738.14, 12741, 12738.14, 12741, 4.3043775900000005
1514714580, 12733.36, 12738.14, 12733.37, 12738.14, 1.5668462999999997
1514714520, 12724.17, 12740.1, 12740.1, 12733.37, 0.47096847999999997
1514714460, 12710, 12740.1, 12710.01, 12740.1, 2.86031987
1514714400, 12710, 12727.03, 12727.03, 12710.01, 4.01873597
1514714340, 12701, 12740.01, 12740, 12701, 11.13815092
1514714280, 12740, 12740.01, 12740.01, 12740.01, 2.78723088
1514714220, 12740, 12749.96, 12749.96, 12740.01, 3.5834833599999993
1514714160, 12740.01, 12784.39, 12784.39, 12749.95, 1.035909
1514714100, 12701.52, 12799.74, 12799.74, 12784.4, 1.9844561
1514714040, 12793, 12827.01, 12827.01, 12809.7, 1.85225145
1514713980, 12820, 12862.46, 12862.46, 12827, 2.68982557
1514713920, 12860.24, 12869.9, 12869.9, 12862.46, 0.53726602
1514713860, 12869.89, 12869.9, 12869.9, 12869.9, 1.52447929
1514713800, 12863.62, 12869.9, 12863.62, 12869.9, 1.3270642900000003
1514713740, 12860.24, 12882.73, 12862.72, 12863.62, 0.4893578999999999
1514713680, 12845.01, 12897.85, 12845.01, 12897.85, 1.5184075000000001
1514713620, 12845.01, 12864.01, 12850.03, 12845.01, 0.6128556199999999
1514713560, 12825.1, 12900, 12825.1, 12852.48, 8.9732367
1514713500, 12825.1, 12825.1, 12825.1, 12825.1, 1.05160709
1514713440, 12825.09, 12825.1, 12825.1, 12825.09, 0.9290307600000001
1514713380, 12815.41, 12835, 12815.41, 12825.11, 1.2157165900000002
1514713320, 12809.9, 12825, 12823.98, 12824.98, 2.7461069399999998
1514713260, 12787.55, 12825, 12787.56, 12823.97, 0.54973195
1514713200, 12787.54, 12787.56, 12787.56, 12787.56, 2.5559345699999994
1514713140, 12780, 12807.06, 12807.06, 12782.02, 1.2841068399999997
1514713080, 12769.91, 12795, 12769.91, 12794.32, 0.83664837
1514713020, 12765.77, 12769.92, 12765.77, 12769.92, 0.71812323
1514712960, 12750, 12763.22, 12763.22, 12758.5, 1.8198124999999998
1514712900, 12763.01, 12769.93, 12763.48, 12763.01, 0.72417738
1514712840, 12763, 12800.52, 12790.62, 12763, 1.4480365900000003
1514712780, 12803.71, 12850.01, 12850.01, 12807.4, 1.4081594800000001
1514712720, 12850, 12866.75, 12866.75, 12850.01, 1.36025073
1514712660, 12849.99, 12885.04, 12885, 12849.99, 0.5637438300000001
1514712600, 12799.99, 12885.01, 12799.99, 12885.01, 17.85841932
1514712540, 12799.99, 12800, 12799.99, 12800, 2.5559175300000003
1514712480, 12799.99, 12800, 12800, 12799.99, 0.82679324
1514712420, 12799.99, 12800, 12799.99, 12799.99, 2.11528134
1514712360, 12799.99, 12800, 12799.99, 12799.99, 3.4780266100000006
1514712300, 12800, 12800, 12800, 12800, 1.92688803
1514712240, 12799.99, 12800, 12800, 12799.99, 2.48795439
1514712180, 12800, 12800, 12800, 12800, 1.5159010199999998
1514712120, 12799.99, 12800, 12800, 12800, 2.70691677
1514712060, 12799.99, 12800, 12800, 12800, 2.67696219
1514712000, 12782.76, 12800, 12782.76, 12800, 2.0969613199999997
1514711940, 12771.82, 12790, 12771.82, 12788.49, 2.63004023
1514711880, 12763, 12807.06, 12789.86, 12775.01, 4.37206196
1514711820, 12740.36, 12789.87, 12740.36, 12789.87, 4.25310171
1514711760, 12735, 12780.01, 12780, 12735, 4.616173240000001
1514711700, 12780, 12820, 12820, 12780, 1.2898228300000003
1514711640, 12819.96, 12830.05, 12830.05, 12820, 0.9937454600000004
1514711580, 12798.21, 12842.7, 12842.7, 12830.05, 2.53281571
1514711520, 12799.78, 12854.55, 12803.02, 12842.7, 1.5213766800000001
1514711460, 12803.01, 12844.21, 12844.21, 12803.01, 2.8280374200000002
1514711400, 12798.6, 12843.25, 12798.6, 12843.25, 1.7638738200000001
1514711340, 12730, 12783.5, 12730.01, 12783.5, 5.265749030000001
1514711280, 12730.01, 12749.67, 12749.67, 12730.01, 6.591888750000001
1514711220, 12749.83, 12789.01, 12789.01, 12749.83, 10.934473490000004
1514711160, 12794.32, 12833.46, 12833.46, 12794.32, 9.877891749999998
1514711100, 12825, 12875.01, 12875, 12833.84, 1.4559334799999997
1514711040, 12880, 12884.03, 12884.02, 12881.18, 2.2406551500000003
1514710980, 12860.35, 12906.45, 12860.35, 12898.13, 1.0834518499999999
1514710920, 12860.35, 12944.38, 12910.01, 12860.35, 5.973470699999999
1514710860, 12910, 12917.58, 12917.58, 12910, 1.0016060500000001
1514710800, 12849.7, 12929.98, 12849.7, 12917.58, 3.7984446399999996
1514710740, 12808, 12849.74, 12808.01, 12849.69, 3.3427083300000002
1514710680, 12808.01, 12815.67, 12815.67, 12808.01, 6.456740959999999
1514710620, 12815.66, 12877.01, 12877.01, 12815.67, 6.184771900000001
1514710560, 12875.48, 12900.01, 12900.01, 12877, 2.93098781
1514710500, 12900, 12943, 12943, 12900, 1.5916380399999999
1514710440, 12922.48, 12990.01, 12990.01, 12944.17, 1.6270022
1514710380, 12993, 13030, 13030, 12993, 1.9687232399999999
1514710320, 13008.05, 13049.98, 13025.47, 13024.3, 1.25165168
1514710260, 13025.47, 13058.56, 13058.56, 13025.47, 2.928252589999999
1514710200, 13052.36, 13058.55, 13052.36, 13058.55, 3.2396408100000005
1514710140, 13041.08, 13050, 13041.08, 13050, 4.51857634
1514710080, 12995.72, 13040, 12995.72, 13040, 1.7859817100000004
1514710020, 12993.99, 12995.72, 12993.99, 12995.72, 4.11699551
1514709960, 12949, 12994, 12949, 12993.65, 1.6946553100000001
1514709900, 12910.01, 12946.67, 12910.01, 12946.66, 3.11158741
1514709840, 12864.99, 12935.01, 12935.01, 12910.01, 2.791794130000001
1514709780, 12926, 12955.01, 12955.01, 12926, 1.51531264
1514709720, 12955, 12964.49, 12964.48, 12955, 0.87770064
1514709660, 12955, 12964.6, 12964.6, 12964.48, 1.94179593
1514709600, 12964.58, 12966.29, 12964.59, 12964.6, 0.82113851
1514709540, 12964.58, 12966.3, 12966.29, 12966.3, 0.65460816
1514709480, 12966.29, 12983.57, 12983.57, 12966.29, 1.9268935600000003
1514709420, 12989.23, 12992.8, 12992.8, 12992.3, 0.72595607
1514709360, 12980, 12995.61, 12993.69, 12992.95, 0.73080613
1514709300, 12980.04, 13000, 13000, 12993.99, 0.77815787
1514709240, 12998.98, 13000, 12998.98, 12999.99, 7.628613989999999
1514709180, 12969.99, 12999, 12970, 12998.99, 0.9652229300000001
1514709120, 12961.26, 12970, 12961.26, 12969.99, 0.61330946
1514709060, 12954.99, 12961.26, 12955, 12961.25, 9.18879922
1514709000, 12954.99, 12955, 12955, 12955, 8.925964200000001
1514708940, 12954.99, 12955, 12955, 12955, 3.61923362
1514708880, 12954.99, 12955, 12954.99, 12955, 2.9264741
1514708820, 12947.99, 12955, 12947.99, 12955, 0.9090405700000002
1514708760, 12936.01, 12947.99, 12947.98, 12947.99, 1.7689341400000003
1514708700, 12946, 12955, 12946, 12947.99, 3.14609878
1514708640, 12903.01, 12946, 12903.01, 12946, 3.82341514
1514708580, 12903, 12925.01, 12925.01, 12903, 2.3320341099999995
1514708520, 12925.02, 12990.01, 12990, 12925.02, 2.8972077000000005
1514708460, 12990, 13004.01, 13004, 12990, 4.3217114799999985
1514708400, 13004, 13005.01, 13005.01, 13004, 6.225012639999999
1514708340, 13005, 13005.01, 13005.01, 13005, 4.23580271
1514708280, 13005.1, 13018.51, 13018.51, 13005.1, 1.96590787
1514708220, 13008, 13030, 13022.54, 13018.51, 2.93883481
1514708160, 13025, 13050, 13050, 13025, 2.97634262
1514708100, 13024.69, 13055.61, 13024.69, 13050, 2.52692593
1514708040, 13015.01, 13021.43, 13015.02, 13021.43, 0.8706906900000001
1514707980, 13015.03, 13015.03, 13015.03, 13015.03, 1.36938714
1514707920, 13015, 13021.55, 13021.55, 13015.03, 1.63444541
1514707860, 13015, 13043.65, 13043.65, 13021.54, 1.3523072300000003
1514707800, 13021.34, 13055.63, 13021.34, 13043.65, 1.4232280599999998
1514707740, 13021.33, 13021.34, 13021.34, 13021.34, 0.5817533500000002
1514707680, 13020, 13054.04, 13050, 13021.34, 3.8649629
1514707620, 13050.92, 13067.25, 13067.25, 13058.57, 0.7770086299999999
1514707560, 13049.81, 13074.31, 13049.81, 13067.25, 2.62984141
1514707500, 13075, 13096.19, 13096.17, 13075, 1.08233946
1514707440, 13043.85, 13155.4, 13155.4, 13070, 4.02434039
1514707380, 13157, 13170, 13169.44, 13157.85, 1.46651555
1514707320, 13157.54, 13200, 13195.3, 13169.76, 1.5392351100000001
1514707260, 13182.15, 13200, 13182.15, 13200, 1.3595258599999998
1514707200, 13142.27, 13182.16, 13144, 13182.16, 2.26345648
1514707140, 13099.99, 13140, 13100, 13140, 0.67614849
1514707080, 13092.51, 13100, 13092.51, 13100, 1.27440376
1514707020, 13092.5, 13092.51, 13092.51, 13092.5, 0.7096748900000001
1514706960, 13084.86, 13092.51, 13084.86, 13092.51, 0.81193618
1514706900, 13068.54, 13084.03, 13068.54, 13084.03, 0.9447648499999999
1514706840, 13065.58, 13068.54, 13068.53, 13068.54, 0.1980278
1514706780, 13059.91, 13092.48, 13092.48, 13068.57, 1.10534078
1514706720, 13042.73, 13092.5, 13092.5, 13092.49, 2.63579863
1514706660, 13092.5, 13100, 13100, 13092.5, 2.2995940600000004
1514706600, 13099.99, 13100, 13099.99, 13099.99, 3.26917967
1514706540, 13100, 13100, 13100, 13100, 0.6778639700000001
1514706480, 13092.5, 13099, 13092.5, 13099, 0.8377126199999999
1514706420, 13091.06, 13092.51, 13091.06, 13092.51, 0.47472559000000003
1514706360, 13050, 13074.75, 13050, 13074.74, 2.16959913
1514706300, 13049.67, 13049.68, 13049.68, 13049.68, 0.26853006
1514706240, 13049.67, 13049.68, 13049.68, 13049.68, 4.29885493
1514706180, 13049.67, 13088.71, 13088.51, 13049.68, 2.7866203300000003
1514706120, 13072.74, 13089.09, 13072.75, 13088.51, 0.6390393200000001
1514706060, 13050, 13073, 13050, 13073, 2.0198376399999995
1514706000, 13015.4, 13050, 13015.4, 13050, 1.9901462300000001
1514705940, 13015.14, 13015.4, 13015.14, 13015.4, 1.4802202599999996
